,BldRecNbr_RmNbr,FLOOR,bld_descr50,bldrecnbr,bldsegname,bldsegnbr,dept_descr,dept_grp,dept_grp_descr,dept_grp_vp_area,dept_grp_vp_area_descr,deptid,downloaddate,fiscal_year,geometry,provost_flag,rmnbr,rmrecnbr,rmsqrft,rmstationcnt,rmtyp,rmtyp_descr50,rmtypgrp,rmtypgrp_descr50
18809,10002211036,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1036,2035340,430.0,2,310,Office,03,Office Facilities
18810,10002211038,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1038,2035341,171.0,1,310,Office,03,Office Facilities
18811,10002211042,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1042,2035342,144.0,1,310,Office,03,Office Facilities
18812,10002211046,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1046,2035343,169.0,1,310,Office,03,Office Facilities
18813,10002211050,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1050,2035344,144.0,1,310,Office,03,Office Facilities
18814,10002211056,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1056,2035346,14.0,0,315,Office Service,03,Office Facilities
18815,10002211058,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1058,2035347,73.0,0,315,Office Service,03,Office Facilities
18816,10002211102,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1102,2035348,313.0,1,310,Office,03,Office Facilities
18817,10002211108,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1108,2035349,245.0,2,310,Office,03,Office Facilities
18818,10002211110,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1110,2035350,823.0,4,310,Office,03,Office Facilities
18819,10002211110A,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1110A,2035351,232.0,1,310,Office,03,Office Facilities
18820,10002211110B,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1110B,2035352,232.0,1,310,Office,03,Office Facilities
18821,10002211110C,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1110C,2035353,52.0,0,315,Office Service,03,Office Facilities
18822,10002211111,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1111,2035354,568.0,1,315,Office Service,03,Office Facilities
18823,10002211111A,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1111A,2035355,219.0,1,310,Office,03,Office Facilities
18824,10002211111B,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1111B,2035356,180.0,1,310,Office,03,Office Facilities
18825,10002211111C,01,EDUCATION SCHOOL OF,1000221,ED SCHL,00,School of Education,SCHOOL_EDUCATION,School of Education,PRVST_EXC_VP_ACA_AFF,Provost & Exec VP Academic Aff,405000,2016-08-22T04:00:02,2016,,N,1111C,2035357,180.0,1,310,Office,03,Office Facilities
